       x_3  ,  y_3
      0.01  ,      20.2485
  0.272632  ,      25.1977
  0.535263  ,      30.0595
  0.797895  ,      38.4903
   1.06053  ,      32.3859
   1.32316  ,      54.6471
   1.58579  ,      68.9805
   1.84842  ,      62.2803
   2.11105  ,      114.592
   2.37368  ,      90.5158
   2.63632  ,       139.98
   2.89895  ,      129.452
   3.16158  ,       179.73
   3.42421  ,       208.27
   3.68684  ,      276.969
   3.94947  ,      304.246
   4.21211  ,      372.051
   4.47474  ,      429.018
   4.73737  ,      557.862
       5.0  ,      723.059
