       x_3  ,  y_3
      0.01  ,      20.1566
  0.272632  ,       30.359
  0.535263  ,      30.7784
  0.797895  ,      39.5152
   1.06053  ,      41.0238
   1.32316  ,      40.9458
   1.58579  ,      40.3884
   1.84842  ,      101.613
   2.11105  ,      65.9388
   2.37368  ,      157.715
   2.63632  ,       126.18
   2.89895  ,      166.295
   3.16158  ,      211.261
   3.42421  ,      225.927
   3.68684  ,      193.993
   3.94947  ,      284.291
   4.21211  ,      316.048
   4.47474  ,      513.524
   4.73737  ,      649.256
       5.0  ,      613.421
